,course,channel_name,playlist_id
157,✔Sistema de ventas en Java &amp; MySQL and SQL full stack,Alex Pagoada,PLfkODrpjGnhlhbyueF6C1ACPLVMB9Y6rJ
158,Oracle PL/SQL By Eng-Helal Ahmed,Free4arab | Information Technology,PLCIJjtzQPZJ8opcXPVT38RdbcdeUYaG4k
159,SQL interview questions,Crack Concepts,PLtPFQl_0853oNyMPC2Fd0K1uW9x41KQn6
160,✔Curso de ASP NET MVC en C# desde cero y SQL Server,Alex Pagoada,PLfkODrpjGnhnHaKAdtXubsjABwl9-Oqmi
161,Curso de programacion PL / SQL,Mario Ruiz,PL5xzlIDQ32_dTCe6wemSqXGHs99GV4jaY
162,Cours : Initiez-vous à l&#39;algèbre relationnelle avec le langage SQL,OpenClassrooms-FR,PLvaIgvOmhah9NDv_VEiuotQ57l5asz-B8
163,Collections in PL/SQL,Practically Perfect PL/SQL with Steven Feuerstein,PL0mkplxCP4yizj8BnM9MxJRxJqKvbmwXS
164,SQL Server Eğitimleri Serisi,SQL Server Eğitimleri,PLiXHPMfTR_eXaCndI3SvgX-fqdFKqqXgO
165,دورة تعلم MySQL و SQL من الصفر إلى الإحتراف - أفضل دورة لتعلم قواعد البيانات كاملة,Coder Shiyar,PLMTdZ61eBnyoQoEmLOcgTBdrAOVT-GFju
166,SQL SERVER INTERVIEW QUESTIONS AND ANSWERS,SS UNITECH,PLNRxk1s77zfjUdeJvlDKk8uyOq6brLGwa
167,PhoneGap + JQuery Mobile + Web SQL (SQLite) Tutorial,VTGAMES,PLxyOsIbHSrxmbXmqJ4WmI0-8SbrcM9fN8
168,SQL Tutorial for Beginners.,Harshit vashisth,PLwgFb6VsUj_nS8Pcdklhc7vx__EqJTgvN
169,SQL Access для начинающих,Уроки по Microsoft Access,PLnzEVwX9gt1jga-65dEwhnjdGS1ZL42MJ
170,Sql Server Training by Venkat,Suvarna Peddyreddy,PL736lTT_nI90csevqF6c6bIn_1a2JLmBz
171,SQL Tutorial,Intellipaat,PLVHgQku8Z936E51WaMbEHML6LutrGCSYr
172,Oracle SQL By Eng-Helal Ahmed | Arabic,Free4arab | Information Technology,PLCIJjtzQPZJ8qHs6Xj5ijLkPMeWq3Y3dg
173,跟着Inty学SQL系列（SQL入门，初学者教程）,Inty,PLRxMjOjh7Y5e5MO0r1aCqnFowkmj65KMN
174,MS-SQL Server və T-SQL dərsləri,Tamerlan Rustambayli,PLlgzXBxIshnyivjTSDQEA2KK7-XNptlNw
175,Curso Basico de Transact - SQL,Jorge Villavicencio,PLvvCS7ui1Q64ZMPk27cK9IMwjtGlGxUuS
176,Cơ sở dữ liệu phân tán Microsoft SQL Server 2012,Thien Tam Nguyen,PLimFJKGsbn1k2Fsy6enBOXUiLKJEysTg8
177,SQL Server Migration Tutorial,TechBrothersIT,PLWf6TEjiiuIBlcswGan1yuxwlXjYF5FBZ
178,Курс SQL. Базы данных. ORACLE,Prime Soft,PLv8UEsK35VB8ju8Vr9WeO71F7SCRofJis
179,Curso de SQL Server desde 0 👨🏻‍💻 🖥️ | UskoKruM2010,UskoKruM2010,PL_wRgp7nihyYXeXZhOiZqKpAdwIRM28Ui
180,Microsoft SQL Server 2017 Arabic,Code Portal,PLMcTiCQvf-s9HAYXwqj7xdUA4EEwIIO12
