,course,channel_name,playlist_id
120,Python Programs,MySirG.com,PL7ersPsTyYt36bAlAHSkWOGpxED3fLo7p
121,Advanced Python Tutorial by DURGA Sir,Durga Software Solutions,PLd3UqWTnYXOkzPunQOObl4m_7i6aOIoQD
122,Curso Python 3,codigofacilito,PLpOqH6AE0tNiK7QN6AJo_3nVGQPc8nLdM
123,CURSO PYTHON  2020 COMPLETO DESDE CERO,yacklyon,PLg9145ptuAijHNZMTDhghSdTWK3BvH8pk
124,Python Tutorials,Programming with Mosh,PLTjRvDozrdlxj5wgH4qkvwSOdHLOCx10f
125,Python,Dạy Nhau Học,PLyiioioEJSxEh_S_XFvG0d2xKRMSWLfN_
126,WEB2 Python,생활코딩,PLuHgQVnccGMDMxfZEpLbzHPZUEwObEaZq
127,Machine Learning Tutorial using Python in Hindi 2021,Indian AI Production,PLfP3JxW-T70Hh7j17_NLzjZ8CejSPx40V
128,Python for Class 12,Apni Kaksha,PLKKfKV1b9e8r_GAb4BQNc2ZSh6S7NwK9W
129,2019 Практика программирования на Python 3,Тимофей Хирьянов,PLRDzFCPr95fLuusPXwvOPgXzBL3ZTzybY
130,Django Web Development with Python,sentdex,PLQVvvaa0QuDe9nqlirjacLkBYdgc2inh3
131,Python Programs Examples,Amulya's Academy,PLzgPDYo_3xulOYHoVsg7uASoF-OE3GE-S
132,Complete Python tutorial in Hindi,codeitup,PLmRclvVt5DtmcLF3ywxKg692lhfD6SUOr
133,Advance Python (Hindi),Geeky Shows,PLbGui_ZYuhijd1hUF2VWiKt8FHNBa7kGb
134,Python for Beginners in Hindi,MySirG.com,PL7ersPsTyYt1x0ZOBz1WDE3_7f5D5AUPY
135,Building a Website with Django &amp; Python,CodingWithMitch,PLgCYzUzKIBE_dil025VAJnDjNZHHHR9mW
136,Data Structures And Algorithms In Python,codebasics,PLeo1K3hjS3uu_n_a__MI_KktGTLYopZ12
137,Python Programming for Network Engineers,David Bombal,PLhfrWIlLOoKPn7T9FtvbOWX8GxgsFFNwn
138,Python Tutorials,freeCodeCamp.org,PLWKjhJtqVAbnqBxcdjVGgT3uVR10bzTEB
139,Python Beginners Tutorial - بالعربي,محمد الدسوقى,PL1DUmTEdeA6JCaY0EKssdqbiqq4sgRlUC
140,Python Programming Tutorials,Tech With Tim,PLzMcBGfZo4-mFu00qxl0a67RhjjZj3jXm
141,Data Analytics with Python,IIT Roorkee July 2018,PLLy_2iUCG87CNafffzNZPVa9rW-QmOmEv
142,Curso de Python - Programação,Bóson Treinamentos,PLucm8g_ezqNrrtduPx7s4BM8phepMn9I2
143,Using Arduino with Python LESSONS,Paul McWhorter,PLGs0VKk2DiYylFUUMMv9WiL3x3tpscDUQ
144,Belajar Python Bahasa Indonesia [Versi Baru],Kelas Terbuka,PLZS-MHyEIRo59lUBwU-XHH7Ymmb04ffOY
145,파이썬(Python) 입문자용 초급,동빈나,PLRx0vPvlEmdD8u2rzxmQ-L97jHTHiiDdy
146,Introdução à Ciência da Computação com Python,CCSL do IME/USP,PLcoJJSvnDgcKpOi_UeneTNTIVOigRQwcn
147,Minecraft || Python&#39;s World (Survival Let&#39;s Play) - S3 (FINISHED),PythonMC,PLbFBnggbJ1rmjdGiY5ND-qEyQrIRMqqER
148,CCA 175 Spark and Hadoop Developer using Python,itversity,PLf0swTFhTI8rT3ApjBqt338MCO0ZvReFt
149,Python 3 Programming Tutorials for Beginners,codebasics,PLeo1K3hjS3uv5U-Lmlnucd7gqF-3ehIh0
150,AI Plays Flappy Bird - NEAT Python,Tech With Tim,PLzMcBGfZo4-lwGZWXz5Qgta_YNX3_vLS2
151,Curso PYTHON PARA PRINCIPIANTES (DESDE CERO),Academia Coder,PLs-v5LWbw7JkIz8145zh7_ioAnXON_cMj
152,Curso Inicio práctico a la programación con Python 3.X,Jesús Conde,PLEtcGQaT56cj70Vl_C1qfUinyMELunL-N
153,2110101 Computer Programming (Python),somchaiSPJ,PL0ROnaCzUGB4ieaQndKybT9xyoq2n9NGq
154,Python and MySQL: Database Manipulation with Python,TheCodex,PLB5jA40tNf3tRMbTpBA0N7lfDZNLZAa9G
155,Kivy Tutorial - Building Games and Mobile Apps with Python,buildwithpython,PLhTjy8cBISEpobkPwLm71p5YNBzPH9m9V
156,Class 12 Computer Science with Python,Edutainment 1.0,PLDA2q3s0-n16PypqXGc9Hp6k-46A_F84u
157,Python入門(全23回),【IT・プログラミングLab】伊沢 剛,PLwgFP6xz77Rxol-cydiwuJSeVFK61rGXP
158,Pytorch - Deep learning w/ Python,sentdex,PLQVvvaa0QuDdeMyHEYc0gxFpYwHY2Qfdh
159,最新Python编程教程19天从入门到精通,知识改变命运,PLVyDH2ns1F75k1hvD2apA0DwI3XMiSDqp
160,Khóa học lập trình web python django,Son Nguyen,PLZEIt444jqpB1j3RD4BrYm9JmNVYuzVNm
161,Tutorial Python bahasa indonesia,Sekolah Koding,PLCZlgfAG0GXDc9Wcsi2fUn0pAr41GDL6m
162,Building a real startup with Python and JavaScript,CS Dojo,PLBZBJbE_rGRXBhJNdKbN7IUy-ctlOFxA1
163,Python GUI Programming with Tkinter and Python 3.7,buildwithpython,PLhTjy8cBISEp6lNKUO3iwbB1DKAkRwutl
164,Data Analysis w/ Python 3 and Pandas,sentdex,PLQVvvaa0QuDfSfqQuee6K8opKtZsh7sA9
165,Web Automation using Robot Framework(Selenium with Python) For Beginners,SDET - QA Automation Techie,PLUDwpEzHYYLsCHiiihnwl3L0xPspL7BPG
