,course,channel_name,playlist_id
215,JavaScript Fundamentals,techsith,PL7pEw9n3GkoVYU-ZKBrDnxIiiUn0YP-uO
216,JavaScript Tutorial - Jul 2018 - by Harsha Sir,Durga Software Solutions,PLd3UqWTnYXOnN6jwdv8b2PmG46fkhcsTQ
217,آموزش فارسی جاوا اسکریپت مقدماتی تا پیشرفته - JavaScript Tutorial,kalagar,PLV6mGBuPqmYuZEAJN7IBxkdNCzKXAGpqD
218,JavaScript,webDev,PLNkWIWHIRwMHKLotIS_d-wyj00pg0AnUg
219,Learn Javascript 2017 (Complete Javascript Course),whatsdev,PLkBfv4fGBau8fiRFU5WytRjXFJmBWhHXQ
220,Javascript FullStack,Fazt Code,PLo5lAe9kQrwq7n_REwpZdfggPCBW2ggnh
221,javaScript 2.Semestar,Danilo Vesovic,PLXNTNfUTUEe5q-sUTFgrIZE0PdPuj7GxV
222,ES6 - Beau teaches JavaScript,freeCodeCamp.org,PLWKjhJtqVAbljtmmeS0c-CEl2LdE-eR_F
223,Java Script,Web Odası,PLkAqDZGjJrkBZNhFC2o4T_5OA6v_WdnvL
224,Core Javascript Fundamentals,Akshay Saini,PLlasXeu85E9eLVlWFs-nz5PKXJU4f7Fks
225,Vanilla Javascript,Online Tutorials,PL5e68lK9hEzd6RUzREoABqimRI4SY63ND
226,Javascript (ES6) Tutorials in Tamil,Coda - Programming In Tamil,PLB8qmogP8oMwFdeaeThAbsR9Vh-873SWb
